state,stateabb,year,binge_female,binge_male,binge_all,poverty
Wisconsin,WI,2011,17.4,31.3,24.3,
Wisconsin,WI,2012,20.2,30.5,25.2,
Wisconsin,WI,2013,16.4,28.8,22.5,
Wisconsin,WI,2014,15.0,29.3,22.1,
Wisconsin,WI,2015,17.1,28.9,22.9,
Wisconsin,WI,2016,19.5,29.7,24.6,
Wisconsin,WI,2017,16.5,29.2,22.7,
Wisconsin,WI,2018,18.9,28.9,23.8,
Wisconsin,WI,2019,16.5,27.7,21.9,
Wisconsin,WI,2020,17.5,28.3,22.8,
Wisconsin,WI,2021,17.9,25.9,21.9,
Wyoming,WY,2011,11.0,26.7,18.9,
Wyoming,WY,2012,10.8,23.2,17.0,
Wyoming,WY,2013,10.7,22.3,16.6,
Wyoming,WY,2014,10.3,23.8,17.2,
Wyoming,WY,2015,10.5,21.3,16.0,
Wyoming,WY,2016,12.5,24.2,18.4,
Wyoming,WY,2017,13.1,22.8,18.0,
Wyoming,WY,2018,10.0,24.6,17.4,
Wyoming,WY,2019,12.9,22.4,17.7,
Wyoming,WY,2020,12.0,20.5,16.4,
Wyoming,WY,2021,12.5,19.3,15.9,
